elapsed,iterations,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,efficiency
1.432318e+02,67108864,1000,31000,66571994080000,0,31,0.000000e+00,1,1.000000e+00,1.478522e+02,1.000000e+00
7.275617e+01,33554432,1000,31000,33285997536000,0,31,1.348930e+00,2,2.000000e+00,7.510314e+01,9.843275e-01
3.739874e+01,16777216,1000,31000,16642999264000,0,31,1.010797e+00,3,4.000000e+00,3.860515e+01,9.574642e-01
2.107107e+01,8388608,1000,31000,8321500128000,0,31,3.304450e+00,4,8.000000e+00,2.175078e+01,8.496946e-01
1.107140e+01,4194304,1000,31000,4160750560000,0,31,2.052139e+00,5,1.600000e+01,1.142854e+01,8.085686e-01
5.886324e+00,2097152,1000,31000,2080375776000,0,31,8.130130e-01,5,3.200000e+01,6.076205e+00,7.604056e-01
3.329039e+00,1048576,1000,31000,1040188384000,0,31,3.384189e-01,5,6.400000e+01,3.436427e+00,6.722652e-01
1.755049e+00,524288,1000,31000,520094688000,0,31,5.036458e-02,5,1.280000e+02,1.811663e+00,6.375882e-01
9.563066e-01,262144,1000,31000,260047840000,0,31,8.187737e-02,5,2.560000e+02,9.871552e-01,5.850626e-01
4.696688e-01,131072,1000,31000,130024416000,0,31,2.296255e-02,5,5.120000e+02,4.848194e-01,5.956316e-01
2.652360e-01,65536,1000,31000,65012704000,0,31,1.331725e-02,5,1.024000e+03,2.737920e-01,5.273597e-01
2.036031e-01,32768,1000,31000,32506848000,0,31,5.157686e-02,5,2.048000e+03,2.101709e-01,3.434987e-01
3.091784e-01,16384,1000,31000,16253920000,0,31,4.737698e-02,5,4.096000e+03,3.191519e-01,1.131020e-01
3.878978e-01,8192,1000,31000,8127456000,0,31,5.581257e-02,5,8.192000e+03,4.004106e-01,4.507463e-02
3.556988e-01,4096,1000,31000,4064224000,0,31,5.319152e-02,5,1.638400e+04,3.671729e-01,2.457747e-02
4.008968e-01,2048,1000,31000,2032608000,0,31,9.268148e-02,5,3.276800e+04,4.138290e-01,1.090327e-02
3.514513e-01,1024,1000,31000,1016800000,0,31,4.713297e-02,5,6.553600e+04,3.627884e-01,6.218626e-03
3.084868e-01,512,1000,31000,508896000,0,31,1.784310e-02,5,1.310720e+05,3.184380e-01,3.542362e-03
3.324496e-01,256,1000,31000,254944000,0,31,9.707730e-02,5,2.621440e+05,3.431738e-01,1.643515e-03
