elapsed,iterations,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,efficiency
1.404842e+02,67108864,1000,64000,137438955520000,0,64,0.000000e+00,1,1.000000e+00,1.404842e+02,1.000000e+00
7.031361e+01,33554432,1000,64000,68719478784000,0,64,1.007500e-02,2,2.000000e+00,7.031361e+01,9.989829e-01
3.520511e+01,16777216,1000,64000,34359740416000,0,64,2.147572e-03,3,4.000000e+00,3.520511e+01,9.976123e-01
1.761266e+01,8388608,1000,64000,17179871232000,0,64,3.504008e-03,4,8.000000e+00,1.761266e+01,9.970396e-01
8.814650e+00,4194304,1000,64000,8589936640000,0,64,1.956515e-03,5,1.600000e+01,8.814650e+00,9.960988e-01
4.419225e+00,2097152,1000,64000,4294969344000,0,64,1.992729e-03,5,3.200000e+01,4.419225e+00,9.934165e-01
2.233822e+00,1048576,1000,64000,2147485696000,0,64,3.022105e-03,5,6.400000e+01,2.233822e+00,9.826503e-01
1.133257e+00,524288,1000,64000,1073743872000,0,64,1.220567e-03,5,1.280000e+02,1.133257e+00,9.684769e-01
5.845446e-01,262144,1000,64000,536872960000,0,64,1.068009e-03,5,2.560000e+02,5.845446e-01,9.387930e-01
3.084392e-01,131072,1000,64000,268437504000,0,64,2.384850e-03,5,5.120000e+02,3.084392e-01,8.895860e-01
1.670884e-01,65536,1000,64000,134219776000,0,64,6.685544e-05,5,1.024000e+03,1.670884e-01,8.210718e-01
1.613254e-01,32768,1000,64000,67110912000,0,64,2.419701e-03,5,2.048000e+03,1.613254e-01,4.252014e-01
1.635402e-01,16384,1000,64000,33556480000,0,64,1.842409e-03,5,4.096000e+03,1.635402e-01,2.097215e-01
1.640102e-01,8192,1000,64000,16779264000,0,64,1.393976e-03,5,8.192000e+03,1.640102e-01,1.045603e-01
1.647762e-01,4096,1000,64000,8390656000,0,64,2.545206e-03,5,1.638400e+04,1.647762e-01,5.203710e-02
1.649985e-01,2048,1000,64000,4196352000,0,64,1.398754e-03,5,3.276800e+04,1.649985e-01,2.598350e-02
1.656081e-01,1024,1000,64000,2099200000,0,64,1.432447e-03,5,6.553600e+04,1.656081e-01,1.294392e-02
1.684820e-01,512,1000,64000,1050624000,0,64,1.623369e-03,5,1.310720e+05,1.684820e-01,6.361568e-03
1.672874e-01,256,1000,64000,526336000,0,64,2.422615e-03,5,2.621440e+05,1.672874e-01,3.203497e-03
