elapsed,iterations,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,efficiency
1.410123e+02,67108864,1000,32000,68719477760000,0,32,0.000000e+00,1,1.000000e+00,1.410123e+02,1.000000e+00
7.053225e+01,33554432,1000,32000,34359739392000,0,32,6.615000e-03,2,2.000000e+00,7.053225e+01,9.996299e-01
3.527507e+01,16777216,1000,32000,17179870208000,0,32,1.520082e-02,3,4.000000e+00,3.527507e+01,9.993764e-01
1.762511e+01,8388608,1000,32000,8589935616000,0,32,7.184749e-03,4,8.000000e+00,1.762511e+01,1.000081e+00
8.829721e+00,4194304,1000,32000,4294968320000,0,32,4.519268e-03,5,1.600000e+01,8.829721e+00,9.981368e-01
4.442078e+00,2097152,1000,32000,2147484672000,0,32,2.153111e-03,5,3.200000e+01,4.442078e+00,9.920210e-01
2.250042e+00,1048576,1000,32000,1073742848000,0,32,2.370302e-03,5,6.400000e+01,2.250042e+00,9.792339e-01
1.145597e+00,524288,1000,32000,536871936000,0,32,9.132804e-04,5,1.280000e+02,1.145597e+00,9.616455e-01
5.912301e-01,262144,1000,32000,268436480000,0,32,4.355264e-04,5,2.560000e+02,5.912301e-01,9.316666e-01
3.079127e-01,131072,1000,32000,134218752000,0,32,3.659045e-04,5,5.120000e+02,3.079127e-01,8.944569e-01
3.452516e-01,65536,1000,32000,67109888000,0,32,2.278849e-03,5,1.024000e+03,3.452516e-01,3.988608e-01
3.487874e-01,32768,1000,32000,33555456000,0,32,2.792091e-03,5,2.048000e+03,3.487874e-01,1.974087e-01
3.482022e-01,16384,1000,32000,16778240000,0,32,4.080691e-03,5,4.096000e+03,3.482022e-01,9.887023e-02
3.551730e-01,8192,1000,32000,8389632000,0,32,1.337937e-02,5,8.192000e+03,3.551730e-01,4.846488e-02
3.520602e-01,4096,1000,32000,4195328000,0,32,1.733769e-03,5,1.638400e+04,3.520602e-01,2.444669e-02
3.518518e-01,2048,1000,32000,2098176000,0,32,4.462966e-03,5,3.276800e+04,3.518518e-01,1.223059e-02
3.513560e-01,1024,1000,32000,1049600000,0,32,2.829530e-03,5,6.553600e+04,3.513560e-01,6.123923e-03
3.528280e-01,512,1000,32000,525312000,0,32,2.785045e-03,5,1.310720e+05,3.528280e-01,3.049186e-03
3.580314e-01,256,1000,32000,263168000,0,32,3.594996e-03,5,2.621440e+05,3.580314e-01,1.502436e-03
