name,label,visible
chapel,Chapel,True
charm,Charm++,True
mpi_nonblock,MPI,True
ompss,OmpSs,True
openmp_gnu,OpenMP GOMP,False
openmp_gnukmp,OpenMP KMP GCC,False
openmp_intel,OpenMP KMP,True
parsec,PaRSEC DTD,True
parsec_ptg,PaRSEC PTG,True
parsec_shard,PaRSEC shard,True
realm_subgraph_seema2_socket,Realm,True
realm_subgraph_seema3_socket,Realm 3,False
regent_util_0,Regent 0,False
regent_subgraph_op_util_2_socket,Regent,True
regent_subgraph_op_2_util_2_socket,Regent v2 u2,False
regent_subgraph_op_2_util_0_socket,Regent v2 u0,False
spark,Spark,True
starpu,StarPU,True
starpu_cray,StarPU-Cray,True
swift,Swift/T,True
tensorflow,TensorFlow,True
x10,X10 node,False
x10_socket,X10 socket,False
x10_core,X10 core,False
x10_core_local_meta,X10,True
chapel_distrib,Chapel distrib,True
